id_requisito,tipo,prioridad_moscow,historia_usuario,caso_de_uso,modulo_codigo,endpoint_api,prueba_automatizada,tipo_acceso,evidencia_empirica,estado
REQ-F-001,funcional,Must,HU-01,CU-01,AuthController;AuthService,POST /api/auth/login,AuthServiceTest,CRUD-ORM,,verificado
REQ-F-002,funcional,Must,HU-01,CU-01,JwtAuthFilter,(todos los endpoints protegidos),pendiente,CRUD-ORM,,implementado
REQ-F-003,funcional,Must,HU-02,CU-02,TareaController;TareaRepository,/api/tareas (CRUD),pendiente,CRUD-ORM,,implementado
REQ-F-004,funcional,Must,HU-03,CU-03,DashboardController;DashboardRepository,GET /api/dashboard,pendiente,SP,docs/mediciones/perf/ (pendiente),implementado
REQ-F-005,funcional,Should,HU-03,CU-03,DashboardController;DashboardRepository,PUT /api/dashboard/avisos/marcar-leidos,pendiente,SP,,implementado
REQ-F-006,funcional,Must,HU-04,CU-04,(sin implementar),(sin implementar),,,,pendiente
REQ-NF-001,no funcional,Must,HU-03,CU-03,DashboardController,GET /api/dashboard,,SP,docs/mediciones/perf/ (pendiente),pendiente
REQ-NF-002,no funcional,Must,,CU-02;CU-03,fn_obtener_resumen_academico;fn_listar_tareas_pendientes;fn_marcar_avisos_leidos,,,SP,docs/basedatos/CATALOGO-SP.md,verificado
REQ-NF-003,no funcional,Should,HU-01,CU-01,RedisService,,,CRUD-ORM,(prueba manual: Redis detenido y sistema respondio),verificado
REQ-NF-004,no funcional,Must,,,docker-compose.yml;Makefile;db/schema.sql,,,,(prueba manual: clonacion limpia + make up + login exitoso),verificado
